,Theta,Ln Like,s,Nu1,Nu2,T,M12,M21
Replicate20,52.70977383,-195.5333787,1.42E-01,3.53E+00,4.99E+00,1.24E+00,2.44E-03,1.01E-01
Replicate19,43.00213346,-181.3909246,4.05E-01,2.75E+00,8.51E+00,1.71E+00,3.85E-03,1.46E-01
Replicate18,46.36760518,-195.9945242,1.16E-01,9.90E+00,9.90E+00,1.07E+00,2.85E-03,9.49E-02
Replicate17,31.54798289,-164.7771113,0.12988518,6.39722936,9.85597544,2.57630714,0.03512321,0.06047407
Replicate16,58.47931648,-207.9871411,1.44E-01,2.54E+00,9.28E+00,8.32E-01,1.04E-03,6.43E-02
Replicate15,36.82117109,-187.0639558,1.67E-01,3.15E+00,9.99E+00,2.27E+00,3.04E-03,1.18E-01
Replicate14,40.96800678,-182.8670244,3.77E-01,2.65E+00,9.25E+00,1.87E+00,1.95E-03,1.01E-01
Replicate13,32.53418524,-174.6500356,2.59E-01,6.33E+00,9.97E+00,2.36E+00,8.04E-03,1.08E-01
Replicate12,26.22187632,-180.5459377,1.24E-01,8.51E+00,9.84E+00,3.53E+00,1.65E-03,7.83E-02
Replicate11,31.19983377,-185.953933,7.87E-02,6.37E+00,9.47E+00,2.80E+00,1.23E-03,8.51E-02
Replicate10,42.99472067,-181.7068725,0.23470082,3.97776897,8.93184743,1.51029579,0.01007731,0.07618393
Replicate9,36.72866954,-184.4003418,1.48E-01,6.14E+00,9.96E+00,1.91E+00,1.31E-03,9.83E-02
Replicate8,39.52339765,-171.3681112,0.26059862,4.13008448,9.72499936,1.74858373,0.05306413,0.10395071
Replicate7,32.8628277,-180.7480562,1.92E-01,5.96E+00,9.79E+00,2.40E+00,1.12E-03,9.85E-02
Replicate6,43.48484445,-199.8868178,1.18E-01,7.43E+00,5.39E+00,1.56E+00,5.25E-03,6.29E-02
Replicate5,38.32200042,-184.5954331,1.25E-01,5.22E+00,9.99E+00,1.85E+00,2.19E-03,1.23E-01
Replicate4,34.00058584,-182.1387245,3.72E-01,6.37E+00,9.33E+00,2.15E+00,1.34E-03,1.34E-01
Replicate3,24.49834758,-181.6453283,3.66E-01,5.27E+00,9.37E+00,4.56E+00,1.35E-03,7.16E-02
Replicate2,51.79003312,-206.142836,2.86E-01,4.56E+00,9.32E+00,9.23E-01,1.36E-03,6.90E-02
Replicate1,37.71981803,-171.5301727,0.14736756,6.14968093,9.90694822,1.80596127,0.03491489,0.12201804
